,A1,A2,A3,A4,A5,A6,A7,A8,A9
345,0,0,1,2,1,0,1,0,1
346,0,0,1,2,1,0,1,1,1
347,0,0,1,2,1,0,1,2,2
348,0,0,1,2,1,0,2,0,1
349,0,0,1,2,1,0,2,1,1
350,0,0,1,2,1,0,2,2,2
351,0,0,1,2,1,1,0,0,1
352,0,0,1,2,1,1,0,1,1
353,0,0,1,2,1,1,0,2,2
354,0,0,1,2,1,1,1,0,1
355,0,0,1,2,1,1,1,1,1
356,0,0,1,2,1,1,1,2,2
357,0,0,1,2,1,1,2,0,1
358,0,0,1,2,1,1,2,1,1
359,0,0,1,2,1,1,2,2,2
360,0,0,1,2,2,0,0,0,1
361,0,0,1,2,2,0,0,1,1
362,0,0,1,2,2,0,0,2,2
363,0,0,1,2,2,0,1,0,1
364,0,0,1,2,2,0,1,1,1
365,0,0,1,2,2,0,1,2,2
366,0,0,1,2,2,0,2,0,1
367,0,0,1,2,2,0,2,1,1
368,0,0,1,2,2,0,2,2,2
369,0,0,1,2,2,1,0,0,1
370,0,0,1,2,2,1,0,1,1
371,0,0,1,2,2,1,0,2,2
372,0,0,1,2,2,1,1,0,1
373,0,0,1,2,2,1,1,1,1
374,0,0,1,2,2,1,1,2,2
375,0,0,1,2,2,1,2,0,1
376,0,0,1,2,2,1,2,1,1
377,0,0,1,2,2,1,2,2,2
378,0,0,1,3,0,0,0,0,3
379,0,0,1,3,0,0,0,1,1
380,0,0,1,3,0,0,0,2,2
381,0,0,1,3,0,0,1,0,3
382,0,0,1,3,0,0,1,1,1
383,0,0,1,3,0,0,1,2,2
384,0,0,1,3,0,0,2,0,1
385,0,0,1,3,0,0,2,1,1
386,0,0,1,3,0,0,2,2,2
387,0,0,1,3,0,1,0,0,1
388,0,0,1,3,0,1,0,1,1
389,0,0,1,3,0,1,0,2,2
390,0,0,1,3,0,1,1,0,1
391,0,0,1,3,0,1,1,1,1
392,0,0,1,3,0,1,1,2,2
393,0,0,1,3,0,1,2,0,1
394,0,0,1,3,0,1,2,1,1
395,0,0,1,3,0,1,2,2,2
396,0,0,1,3,1,0,0,0,1
397,0,0,1,3,1,0,0,1,1
398,0,0,1,3,1,0,0,2,2
399,0,0,1,3,1,0,1,0,1
400,0,0,1,3,1,0,1,1,1
401,0,0,1,3,1,0,1,2,2
402,0,0,1,3,1,0,2,0,1
403,0,0,1,3,1,0,2,1,1
404,0,0,1,3,1,0,2,2,2
405,0,0,1,3,1,1,0,0,1
406,0,0,1,3,1,1,0,1,1
407,0,0,1,3,1,1,0,2,2
408,0,0,1,3,1,1,1,0,1
409,0,0,1,3,1,1,1,1,1
410,0,0,1,3,1,1,1,2,2
411,0,0,1,3,1,1,2,0,1
412,0,0,1,3,1,1,2,1,1
413,0,0,1,3,1,1,2,2,2
414,0,0,1,3,2,0,0,0,1
415,0,0,1,3,2,0,0,1,1
416,0,0,1,3,2,0,0,2,2
417,0,0,1,3,2,0,1,0,1
418,0,0,1,3,2,0,1,1,1
419,0,0,1,3,2,0,1,2,2
420,0,0,1,3,2,0,2,0,1
421,0,0,1,3,2,0,2,1,1
422,0,0,1,3,2,0,2,2,2
423,0,0,1,3,2,1,0,0,1
424,0,0,1,3,2,1,0,1,1
425,0,0,1,3,2,1,0,2,2
426,0,0,1,3,2,1,1,0,1
427,0,0,1,3,2,1,1,1,1
428,0,0,1,3,2,1,1,2,2
429,0,0,1,3,2,1,2,0,1
430,0,0,1,3,2,1,2,1,1
431,0,0,1,3,2,1,2,2,2
432,0,0,2,0,0,0,0,0,3
433,0,0,2,0,0,0,0,1,1
434,0,0,2,0,0,0,0,2,2
435,0,0,2,0,0,0,1,0,3
436,0,0,2,0,0,0,1,1,1
437,0,0,2,0,0,0,1,2,2
438,0,0,2,0,0,0,2,0,1
439,0,0,2,0,0,0,2,1,1
440,0,0,2,0,0,0,2,2,2
441,0,0,2,0,0,1,0,0,3
442,0,0,2,0,0,1,0,1,1
443,0,0,2,0,0,1,0,2,2
444,0,0,2,0,0,1,1,0,3
445,0,0,2,0,0,1,1,1,1
446,0,0,2,0,0,1,1,2,2
447,0,0,2,0,0,1,2,0,1
448,0,0,2,0,0,1,2,1,1
449,0,0,2,0,0,1,2,2,2
450,0,0,2,0,1,0,0,0,3
451,0,0,2,0,1,0,0,1,1
452,0,0,2,0,1,0,0,2,2
453,0,0,2,0,1,0,1,0,3
454,0,0,2,0,1,0,1,1,1
455,0,0,2,0,1,0,1,2,2
456,0,0,2,0,1,0,2,0,1
457,0,0,2,0,1,0,2,1,1
458,0,0,2,0,1,0,2,2,2
459,0,0,2,0,1,1,0,0,3
460,0,0,2,0,1,1,0,1,1
461,0,0,2,0,1,1,0,2,2
462,0,0,2,0,1,1,1,0,3
463,0,0,2,0,1,1,1,1,1
464,0,0,2,0,1,1,1,2,2
465,0,0,2,0,1,1,2,0,1
466,0,0,2,0,1,1,2,1,1
467,0,0,2,0,1,1,2,2,2
468,0,0,2,0,2,0,0,0,1
469,0,0,2,0,2,0,0,1,1
470,0,0,2,0,2,0,0,2,2
471,0,0,2,0,2,0,1,0,1
472,0,0,2,0,2,0,1,1,1
473,0,0,2,0,2,0,1,2,2
474,0,0,2,0,2,0,2,0,1
475,0,0,2,0,2,0,2,1,1
476,0,0,2,0,2,0,2,2,2
477,0,0,2,0,2,1,0,0,1
478,0,0,2,0,2,1,0,1,1
479,0,0,2,0,2,1,0,2,2
480,0,0,2,0,2,1,1,0,1
481,0,0,2,0,2,1,1,1,1
482,0,0,2,0,2,1,1,2,2
483,0,0,2,0,2,1,2,0,1
484,0,0,2,0,2,1,2,1,1
485,0,0,2,0,2,1,2,2,2
486,0,0,2,1,0,0,0,0,3
487,0,0,2,1,0,0,0,1,1
488,0,0,2,1,0,0,0,2,2
489,0,0,2,1,0,0,1,0,3
490,0,0,2,1,0,0,1,1,1
491,0,0,2,1,0,0,1,2,2
492,0,0,2,1,0,0,2,0,1
493,0,0,2,1,0,0,2,1,1
494,0,0,2,1,0,0,2,2,2
495,0,0,2,1,0,1,0,0,1
496,0,0,2,1,0,1,0,1,1
497,0,0,2,1,0,1,0,2,2
498,0,0,2,1,0,1,1,0,1
499,0,0,2,1,0,1,1,1,1
500,0,0,2,1,0,1,1,2,2
501,0,0,2,1,0,1,2,0,1
502,0,0,2,1,0,1,2,1,1
503,0,0,2,1,0,1,2,2,2
504,0,0,2,1,1,0,0,0,1
505,0,0,2,1,1,0,0,1,1
506,0,0,2,1,1,0,0,2,2
507,0,0,2,1,1,0,1,0,1
508,0,0,2,1,1,0,1,1,1
509,0,0,2,1,1,0,1,2,2
510,0,0,2,1,1,0,2,0,1
511,0,0,2,1,1,0,2,1,1
512,0,0,2,1,1,0,2,2,2
513,0,0,2,1,1,1,0,0,1
514,0,0,2,1,1,1,0,1,1
515,0,0,2,1,1,1,0,2,2
516,0,0,2,1,1,1,1,0,1
517,0,0,2,1,1,1,1,1,1
518,0,0,2,1,1,1,1,2,2
519,0,0,2,1,1,1,2,0,1
520,0,0,2,1,1,1,2,1,1
521,0,0,2,1,1,1,2,2,2
522,0,0,2,1,2,0,0,0,1
523,0,0,2,1,2,0,0,1,1
524,0,0,2,1,2,0,0,2,2
525,0,0,2,1,2,0,1,0,1
526,0,0,2,1,2,0,1,1,1
527,0,0,2,1,2,0,1,2,2
528,0,0,2,1,2,0,2,0,1
529,0,0,2,1,2,0,2,1,1
530,0,0,2,1,2,0,2,2,2
531,0,0,2,1,2,1,0,0,1
532,0,0,2,1,2,1,0,1,1
533,0,0,2,1,2,1,0,2,2
534,0,0,2,1,2,1,1,0,1
535,0,0,2,1,2,1,1,1,1
536,0,0,2,1,2,1,1,2,2
537,0,0,2,1,2,1,2,0,1
538,0,0,2,1,2,1,2,1,1
539,0,0,2,1,2,1,2,2,2
540,0,0,2,2,0,0,0,0,3
541,0,0,2,2,0,0,0,1,1
542,0,0,2,2,0,0,0,2,2
543,0,0,2,2,0,0,1,0,3
544,0,0,2,2,0,0,1,1,1
545,0,0,2,2,0,0,1,2,2
546,0,0,2,2,0,0,2,0,1
547,0,0,2,2,0,0,2,1,1
548,0,0,2,2,0,0,2,2,2
549,0,0,2,2,0,1,0,0,1
550,0,0,2,2,0,1,0,1,1
551,0,0,2,2,0,1,0,2,2
552,0,0,2,2,0,1,1,0,1
553,0,0,2,2,0,1,1,1,1
554,0,0,2,2,0,1,1,2,2
555,0,0,2,2,0,1,2,0,1
556,0,0,2,2,0,1,2,1,1
557,0,0,2,2,0,1,2,2,2
558,0,0,2,2,1,0,0,0,1
559,0,0,2,2,1,0,0,1,1
560,0,0,2,2,1,0,0,2,2
561,0,0,2,2,1,0,1,0,1
562,0,0,2,2,1,0,1,1,1
563,0,0,2,2,1,0,1,2,2
564,0,0,2,2,1,0,2,0,1
565,0,0,2,2,1,0,2,1,1
566,0,0,2,2,1,0,2,2,2
567,0,0,2,2,1,1,0,0,1
568,0,0,2,2,1,1,0,1,1
569,0,0,2,2,1,1,0,2,2
570,0,0,2,2,1,1,1,0,1
571,0,0,2,2,1,1,1,1,1
572,0,0,2,2,1,1,1,2,2
573,0,0,2,2,1,1,2,0,1
574,0,0,2,2,1,1,2,1,1
575,0,0,2,2,1,1,2,2,2
576,0,0,2,2,2,0,0,0,1
577,0,0,2,2,2,0,0,1,1
578,0,0,2,2,2,0,0,2,2
579,0,0,2,2,2,0,1,0,1
580,0,0,2,2,2,0,1,1,1
581,0,0,2,2,2,0,1,2,2
582,0,0,2,2,2,0,2,0,1
583,0,0,2,2,2,0,2,1,1
584,0,0,2,2,2,0,2,2,2
585,0,0,2,2,2,1,0,0,1
586,0,0,2,2,2,1,0,1,1
587,0,0,2,2,2,1,0,2,2
588,0,0,2,2,2,1,1,0,1
589,0,0,2,2,2,1,1,1,1
590,0,0,2,2,2,1,1,2,2
591,0,0,2,2,2,1,2,0,1
592,0,0,2,2,2,1,2,1,1
593,0,0,2,2,2,1,2,2,2
594,0,0,2,3,0,0,0,0,3
595,0,0,2,3,0,0,0,1,1
596,0,0,2,3,0,0,0,2,2
597,0,0,2,3,0,0,1,0,3
598,0,0,2,3,0,0,1,1,1
599,0,0,2,3,0,0,1,2,2
600,0,0,2,3,0,0,2,0,1
601,0,0,2,3,0,0,2,1,1
602,0,0,2,3,0,0,2,2,2
603,0,0,2,3,0,1,0,0,1
604,0,0,2,3,0,1,0,1,1
605,0,0,2,3,0,1,0,2,2
606,0,0,2,3,0,1,1,0,1
607,0,0,2,3,0,1,1,1,1
608,0,0,2,3,0,1,1,2,2
609,0,0,2,3,0,1,2,0,1
610,0,0,2,3,0,1,2,1,1
611,0,0,2,3,0,1,2,2,2
612,0,0,2,3,1,0,0,0,1
613,0,0,2,3,1,0,0,1,1
614,0,0,2,3,1,0,0,2,2
615,0,0,2,3,1,0,1,0,1
616,0,0,2,3,1,0,1,1,1
617,0,0,2,3,1,0,1,2,2
618,0,0,2,3,1,0,2,0,1
619,0,0,2,3,1,0,2,1,1
620,0,0,2,3,1,0,2,2,2
621,0,0,2,3,1,1,0,0,1
622,0,0,2,3,1,1,0,1,1
623,0,0,2,3,1,1,0,2,2
624,0,0,2,3,1,1,1,0,1
625,0,0,2,3,1,1,1,1,1
626,0,0,2,3,1,1,1,2,2
627,0,0,2,3,1,1,2,0,1
628,0,0,2,3,1,1,2,1,1
629,0,0,2,3,1,1,2,2,2
630,0,0,2,3,2,0,0,0,1
631,0,0,2,3,2,0,0,1,1
632,0,0,2,3,2,0,0,2,2
633,0,0,2,3,2,0,1,0,1
634,0,0,2,3,2,0,1,1,1
635,0,0,2,3,2,0,1,2,2
636,0,0,2,3,2,0,2,0,1
637,0,0,2,3,2,0,2,1,1
638,0,0,2,3,2,0,2,2,2
639,0,0,2,3,2,1,0,0,1
640,0,0,2,3,2,1,0,1,1
641,0,0,2,3,2,1,0,2,2
642,0,0,2,3,2,1,1,0,1
643,0,0,2,3,2,1,1,1,1
644,0,0,2,3,2,1,1,2,2
645,0,0,2,3,2,1,2,0,1
646,0,0,2,3,2,1,2,1,1
647,0,0,2,3,2,1,2,2,2
648,0,0,3,0,0,0,0,0,3
649,0,0,3,0,0,0,0,1,1
650,0,0,3,0,0,0,0,2,2
651,0,0,3,0,0,0,1,0,3
652,0,0,3,0,0,0,1,1,1
653,0,0,3,0,0,0,1,2,2
654,0,0,3,0,0,0,2,0,1
655,0,0,3,0,0,0,2,1,1
656,0,0,3,0,0,0,2,2,2
657,0,0,3,0,0,1,0,0,1
658,0,0,3,0,0,1,0,1,1
659,0,0,3,0,0,1,0,2,2
660,0,0,3,0,0,1,1,0,1
661,0,0,3,0,0,1,1,1,1
662,0,0,3,0,0,1,1,2,2
663,0,0,3,0,0,1,2,0,1
664,0,0,3,0,0,1,2,1,1
665,0,0,3,0,0,1,2,2,2
666,0,0,3,0,1,0,0,0,1
667,0,0,3,0,1,0,0,1,1
668,0,0,3,0,1,0,0,2,2
669,0,0,3,0,1,0,1,0,1
670,0,0,3,0,1,0,1,1,1
671,0,0,3,0,1,0,1,2,2
672,0,0,3,0,1,0,2,0,1
673,0,0,3,0,1,0,2,1,1
674,0,0,3,0,1,0,2,2,2
675,0,0,3,0,1,1,0,0,1
676,0,0,3,0,1,1,0,1,1
677,0,0,3,0,1,1,0,2,2
678,0,0,3,0,1,1,1,0,1
679,0,0,3,0,1,1,1,1,1
680,0,0,3,0,1,1,1,2,2
681,0,0,3,0,1,1,2,0,1
682,0,0,3,0,1,1,2,1,1
683,0,0,3,0,1,1,2,2,2
684,0,0,3,0,2,0,0,0,1
685,0,0,3,0,2,0,0,1,1
686,0,0,3,0,2,0,0,2,2
687,0,0,3,0,2,0,1,0,1
688,0,0,3,0,2,0,1,1,1
689,0,0,3,0,2,0,1,2,2
690,0,0,3,0,2,0,2,0,1
691,0,0,3,0,2,0,2,1,1
692,0,0,3,0,2,0,2,2,2
693,0,0,3,0,2,1,0,0,1
694,0,0,3,0,2,1,0,1,1
695,0,0,3,0,2,1,0,2,2
696,0,0,3,0,2,1,1,0,1
