age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
48,1,171095,6,12,2,1,4,0,1,0,0,40,9,0
32,4,249409,1,9,0,4,3,1,0,0,0,40,0,0
76,1,124191,3,14,1,1,1,0,0,0,0,40,0,1
44,1,198282,0,13,1,1,1,0,0,15024,0,60,0,1
47,2,149116,3,14,0,3,0,0,1,0,0,50,0,0
20,1,188300,5,10,0,10,3,0,1,0,0,40,0,0
29,1,103432,1,9,0,6,0,0,0,0,0,40,0,0
32,3,317660,1,9,1,6,1,0,0,7688,0,40,0,1
17,0,304873,12,6,0,11,3,0,1,34095,0,32,0,0
30,1,194901,2,7,0,2,3,0,0,0,0,40,0,0
31,5,189265,1,9,0,0,0,0,1,0,0,40,0,0
42,1,124692,1,9,1,2,1,0,0,0,0,40,0,0
24,1,432376,0,13,0,5,5,0,0,0,0,40,0,0
38,1,65324,10,15,1,3,1,0,0,0,0,40,0,1
56,2,335605,1,9,1,4,1,0,0,0,1887,50,10,1
28,1,377869,5,10,1,5,2,0,1,4064,0,25,0,0
36,1,102864,1,9,0,9,3,0,1,0,0,40,0,0
53,1,95647,4,5,1,2,1,0,0,0,0,50,0,0
56,3,303090,5,10,1,5,1,0,0,0,0,50,0,0
49,5,197371,7,11,1,6,1,1,0,0,0,40,0,1
55,1,247552,5,10,1,5,1,0,0,0,0,56,0,0
22,1,102632,1,9,0,6,0,0,0,0,0,41,0,0
21,1,199915,5,10,0,4,3,0,1,0,0,40,0,0
40,1,118853,0,13,1,1,1,0,0,0,0,60,0,0
30,1,77143,0,13,0,1,3,1,0,0,0,40,11,0
29,6,267989,0,13,1,3,1,0,0,0,0,50,0,1
19,1,301606,5,10,0,4,3,1,0,0,0,35,0,0
47,1,287828,0,13,1,1,2,0,1,0,0,40,0,1
20,1,111697,5,10,0,0,3,0,1,0,1719,28,0,0
31,1,114937,6,12,1,0,1,0,0,0,0,40,0,1
35,0,129305,1,9,1,11,1,0,0,0,0,40,0,0
39,1,365739,5,10,2,6,0,0,0,0,0,40,0,0
28,1,69621,6,12,0,5,0,0,1,0,0,60,0,0
24,1,43323,1,9,0,4,0,0,1,0,1762,40,0,0
38,2,120985,1,9,1,6,1,0,0,4386,0,35,0,0
37,1,254202,0,13,1,5,1,0,0,0,0,50,0,0
46,1,146195,6,12,2,10,0,1,1,0,0,36,0,0
38,4,125933,3,14,1,3,1,0,0,0,0,40,12,1
43,2,56920,1,9,1,6,1,0,0,0,0,60,0,0
27,1,163127,7,11,1,0,2,0,1,0,0,35,0,0
20,1,34310,5,10,0,5,3,0,0,0,0,20,0,0
49,1,81973,5,10,1,6,1,2,0,0,0,40,0,1
61,3,66614,1,9,1,6,1,0,0,0,0,40,0,0
27,1,232782,5,10,0,5,3,0,1,0,0,40,0,0
19,1,316868,5,10,0,4,3,0,0,0,0,30,5,0
45,1,196584,7,11,0,3,0,0,1,0,1564,40,0,1
70,1,105376,5,10,0,10,5,0,0,0,0,40,0,0
31,1,185814,1,9,0,7,4,1,1,0,0,30,0,0
22,1,175374,5,10,1,4,1,0,0,0,0,24,0,0
36,1,108293,1,9,6,4,4,0,1,0,0,24,0,0
64,1,181232,2,7,1,6,1,0,0,0,2179,40,0,0
43,0,174662,5,10,2,11,0,0,1,0,0,40,0,0
47,5,186009,5,10,2,0,4,0,1,0,0,38,5,0
34,1,198183,1,9,0,0,0,0,1,0,0,40,0,0
33,1,163003,0,13,0,1,5,2,1,0,0,40,13,0
21,1,296158,1,9,0,6,3,0,0,0,0,35,0,0
52,0,252903,1,9,2,11,0,0,0,0,0,45,0,1
48,1,187715,1,9,1,6,1,0,0,0,0,46,0,0
23,1,214542,0,13,0,2,0,0,0,0,0,40,0,0
71,2,494223,5,10,4,5,4,1,0,0,1816,2,0,0
29,1,191535,1,9,2,6,0,0,0,0,0,60,0,0
42,1,228456,0,13,4,4,5,1,0,0,0,50,0,0
68,0,38317,13,2,2,11,0,0,1,0,0,20,0,0
25,1,252752,1,9,0,4,4,0,1,0,0,40,0,0
44,3,78374,3,14,2,1,4,2,1,0,0,40,0,0
28,1,88419,1,9,0,1,0,2,1,0,0,40,9,0
45,2,201080,3,14,1,5,1,0,0,0,0,40,0,1
36,1,207157,5,10,2,4,4,0,1,0,0,40,5,0
39,4,235485,6,12,0,1,0,0,0,0,0,42,0,0
46,6,102628,3,14,6,12,4,0,0,0,0,40,0,0
18,1,25828,2,7,0,2,3,0,0,0,0,16,0,0
66,5,54826,7,11,6,3,0,0,1,0,0,20,0,0
27,1,124953,1,9,0,4,0,0,0,0,1980,40,0,0
28,6,175325,1,9,1,12,1,0,0,0,0,40,0,0
51,1,96062,5,10,1,5,1,0,0,0,1977,40,0,1
27,1,428030,0,13,0,6,0,0,0,0,0,50,0,0
28,6,149624,0,13,1,3,1,0,0,0,0,40,0,1
27,1,253814,1,9,3,5,4,0,1,0,0,25,0,0
21,1,312956,1,9,0,6,3,1,0,0,0,40,0,0
34,1,483777,1,9,0,2,0,1,0,0,0,40,0,0
18,1,183930,1,9,0,4,3,0,0,0,0,12,0,0
33,1,37274,0,13,1,3,1,0,0,0,0,65,0,0
44,5,181344,5,10,1,1,1,1,0,0,0,38,0,1
43,1,114580,5,10,2,0,0,0,1,0,0,40,0,0
30,1,633742,5,10,0,6,0,1,0,0,0,45,0,0
40,1,286370,8,4,1,9,1,0,0,0,0,40,5,1
37,4,29054,5,10,1,0,1,0,0,0,0,42,0,1
34,1,304030,1,9,1,0,1,1,0,0,0,40,0,0
41,2,143129,0,13,2,1,0,0,1,0,0,40,0,0
53,0,135105,0,13,2,11,0,0,1,0,0,50,0,0
31,1,99928,3,14,1,3,2,0,1,0,0,50,0,0
58,6,109567,9,16,1,3,1,0,0,0,0,1,0,1
38,1,155222,5,10,2,9,0,1,1,0,0,28,0,0
24,1,159567,5,10,1,9,1,0,0,0,0,40,0,0
41,5,523910,0,13,1,6,1,1,0,0,0,40,0,0
47,1,120939,5,10,1,10,1,0,0,0,0,45,0,0
41,4,130760,0,13,1,10,1,0,0,0,0,24,0,0
23,1,197387,11,3,1,7,5,0,0,0,0,40,5,0
36,1,99374,5,10,2,6,0,0,0,0,0,40,0,0
40,4,56795,3,14,0,1,0,0,1,14084,0,55,0,1
35,1,138992,3,14,1,3,5,0,0,7298,0,40,0,1
24,2,32921,1,9,0,5,0,0,0,0,0,40,0,0
26,1,397317,3,14,0,3,0,0,1,0,1876,40,0,0
19,0,170653,1,9,0,11,3,0,0,0,0,40,14,0
51,1,259323,0,13,1,1,1,0,0,0,0,50,0,1
42,5,254817,5,10,0,3,0,0,1,0,1340,40,0,0
37,6,48211,1,9,2,0,4,0,1,0,0,35,0,0
18,1,140164,2,7,0,5,3,0,1,0,0,40,0,0
36,1,128757,0,13,1,4,1,1,0,7298,0,36,0,1
35,1,36270,1,9,2,6,0,0,0,0,0,60,0,0
58,3,210563,1,9,1,5,2,0,1,15024,0,35,0,1
17,1,65368,2,7,0,5,3,0,1,0,0,12,0,0
44,5,160943,1,9,1,7,1,1,0,0,0,40,0,0
37,1,208358,1,9,1,6,1,0,0,0,0,40,0,1
35,1,153790,5,10,0,5,0,3,1,0,0,40,0,0
60,1,85815,1,9,1,6,1,2,0,0,0,40,0,0
54,3,125417,8,4,1,9,1,0,0,0,0,40,0,1
37,1,635913,0,13,0,1,0,1,0,0,0,60,0,1
50,1,313321,6,12,2,5,0,0,1,0,0,40,0,0
38,1,182609,0,13,1,5,1,0,0,0,0,50,15,0
45,1,109434,0,13,1,3,1,0,0,0,0,55,0,0
25,1,255004,12,6,0,6,0,0,0,0,0,40,0,0
31,1,197860,5,10,1,2,1,0,0,0,0,40,0,0
64,0,187656,13,2,2,11,0,0,0,0,0,40,0,0
90,1,51744,1,9,0,4,0,1,0,0,2206,40,0,0
54,1,176681,1,9,1,0,1,1,0,0,0,20,0,0
53,5,140359,14,1,0,9,0,0,1,0,0,35,0,0
18,1,243313,1,9,0,5,3,0,1,0,0,40,0,0
60,0,24215,12,6,2,11,0,3,1,0,0,10,0,0
66,2,167687,1,9,1,8,1,0,0,1409,0,50,0,0
75,1,314209,7,11,6,0,0,0,1,0,0,20,16,0
65,1,176796,1,9,2,0,0,0,1,0,0,40,0,0
35,1,538583,2,7,4,7,0,1,0,3674,0,40,0,0
41,1,130408,1,9,2,5,4,1,1,0,0,38,0,0
25,1,159732,5,10,0,0,0,0,0,0,0,42,0,0
33,1,110978,5,10,2,6,5,4,1,0,0,40,0,0
28,1,76714,10,15,0,3,0,0,0,0,0,55,0,1
59,6,268700,1,9,1,4,1,0,0,0,0,40,0,0
40,6,170525,5,10,0,0,0,0,1,0,0,38,0,0
41,1,180138,0,13,1,1,1,0,0,0,0,50,12,1
38,5,115076,3,14,1,1,1,0,0,0,0,70,0,1
23,1,115458,1,9,0,7,3,0,0,0,0,40,0,0
40,1,347890,0,13,1,3,1,0,0,0,0,40,0,1
41,2,196001,1,9,1,4,2,0,1,0,0,20,0,0
24,6,273905,6,12,1,12,1,0,0,0,0,50,0,0
20,0,119156,5,10,0,11,3,0,0,0,0,20,0,0
38,1,179488,5,10,2,6,0,0,0,0,1741,40,0,0
56,1,203580,1,9,1,0,1,0,0,0,0,35,4,0
58,1,236596,1,9,1,0,1,0,0,0,0,45,0,1
32,1,183916,1,9,0,4,0,0,1,0,0,34,0,0
40,1,207578,6,12,1,10,1,0,0,0,1977,60,0,1
45,1,153141,1,9,1,0,1,0,0,0,0,40,4,0
41,1,112763,10,15,1,3,2,0,1,0,0,40,0,1
42,1,390781,0,13,1,0,2,1,1,0,0,40,0,0
59,5,171328,12,6,6,4,4,1,1,0,0,30,0,0
19,5,27382,5,10,0,0,3,0,0,0,0,40,0,0
58,1,259014,5,10,0,7,0,0,0,0,0,20,0,0
42,2,303044,1,9,1,8,1,2,0,0,0,40,17,1
20,1,117789,1,9,0,4,3,0,1,0,0,40,0,0
32,1,172579,1,9,4,4,0,0,1,0,0,30,0,0
45,1,187666,7,11,6,1,0,0,1,0,0,45,0,0
50,1,204518,8,4,2,6,0,0,0,0,0,40,0,0
36,1,150042,0,13,2,3,3,0,1,0,0,40,0,0
45,1,98092,1,9,1,5,1,0,0,0,0,60,0,0
17,1,245918,2,7,0,4,3,0,0,0,0,12,0,0
59,1,146013,5,10,1,5,1,0,0,4064,0,40,0,0
26,1,378322,2,7,1,6,1,0,0,0,0,40,0,0
37,3,257295,5,10,1,1,1,2,0,0,0,75,18,1
19,0,218956,5,10,0,11,3,0,0,0,0,24,10,0
64,1,21174,1,9,1,1,1,0,0,0,0,40,0,1
33,1,185480,0,13,0,3,0,0,1,0,0,45,0,0
33,1,222205,1,9,1,6,2,0,1,0,0,40,0,1
61,1,69867,1,9,1,1,1,0,0,0,0,40,0,1
17,1,191260,4,5,0,4,3,0,0,1055,0,24,0,0
50,2,30653,3,14,1,8,1,0,0,2407,0,98,0,0
27,5,209109,3,14,0,3,3,0,0,0,0,35,0,0
30,1,70377,1,9,2,3,3,0,1,0,0,40,0,0
43,1,477983,1,9,1,2,1,1,0,0,0,40,0,0
44,1,170924,5,10,1,6,1,0,0,7298,0,40,0,1
35,1,190174,5,10,0,1,0,0,1,0,0,40,0,0
25,1,193787,5,10,0,10,3,0,1,0,0,40,0,0
24,1,279472,5,10,1,9,2,0,1,7298,0,48,0,1
22,1,34918,0,13,0,3,0,0,1,0,0,15,11,0
42,5,97688,5,10,1,6,1,0,0,5178,0,40,0,1
34,1,175413,6,12,2,5,4,1,1,0,0,45,0,0
60,1,173960,0,13,2,3,0,0,1,0,0,42,0,0
21,1,205759,1,9,0,2,3,0,0,0,0,40,0,0
57,4,425161,3,14,1,5,1,0,0,15024,0,40,0,1
41,1,220531,10,15,1,3,1,0,0,0,0,60,0,1
50,1,176609,5,10,2,4,0,0,0,0,0,45,0,0
25,1,371987,0,13,0,1,0,0,1,0,0,40,0,0
50,1,193884,8,4,1,6,1,0,0,0,0,40,19,0
36,1,200352,0,13,1,3,1,0,0,0,0,45,0,0
31,1,127595,1,9,2,3,0,0,1,0,0,40,0,0
29,5,220419,0,13,0,12,0,0,0,0,0,56,0,0
21,1,231931,5,10,0,5,3,0,0,0,0,45,0,0
27,1,248402,0,13,0,10,4,1,1,0,0,40,0,0
65,1,111095,1,9,1,7,1,0,0,0,0,16,0,0
37,3,57424,0,13,2,5,0,0,1,0,0,60,0,0
39,0,157443,3,14,1,11,2,2,1,3464,0,40,4,0
24,1,278130,1,9,0,6,3,0,0,0,0,40,0,0
38,1,169469,1,9,2,5,0,0,0,0,0,80,0,0
48,1,146268,0,13,1,0,1,0,0,7688,0,40,0,1
21,1,153718,5,10,0,4,0,2,1,0,0,25,0,0
31,1,217460,1,9,1,7,1,0,0,0,0,45,0,1
55,1,238638,1,9,1,5,1,0,0,4386,0,40,0,1
24,1,303296,5,10,1,0,2,2,1,0,0,40,20,0
43,1,173321,1,9,2,0,0,0,1,0,0,40,0,0
26,1,193945,6,12,0,10,0,0,0,0,0,45,0,0
46,1,83082,6,12,0,3,0,0,1,0,0,33,0,0
35,1,193815,6,12,1,0,1,0,0,0,0,40,0,1
41,3,34987,5,10,1,8,1,0,0,0,0,54,0,1
26,1,59306,0,13,0,5,0,0,0,0,0,40,0,0
34,1,142897,3,14,1,1,1,2,0,7298,0,35,21,1
19,0,860348,5,10,0,11,3,1,1,0,0,25,0,0
36,2,205607,0,13,2,3,0,1,1,0,0,40,0,1
22,1,199698,5,10,0,5,3,0,0,0,0,15,0,0
24,1,191954,5,10,0,9,0,0,0,0,0,40,0,0
77,2,138714,5,10,1,5,1,0,0,0,0,40,0,0
22,1,399087,11,3,1,9,5,0,1,0,0,40,5,0
29,1,423158,5,10,0,10,0,0,1,0,0,40,0,0
62,1,159841,1,9,6,4,0,0,1,0,0,24,0,0
39,2,174308,1,9,1,1,1,0,0,0,0,40,0,0
43,1,50356,5,10,1,6,1,0,0,0,1485,50,0,0
35,1,186110,1,9,2,7,0,0,0,0,0,45,0,0
29,1,200381,2,7,0,1,0,0,1,0,0,40,0,0
76,2,174309,3,14,1,6,1,0,0,0,0,10,0,0
63,2,78383,1,9,1,8,1,0,0,0,0,45,0,0
23,0,211601,7,11,0,11,3,1,1,0,0,15,0,0
43,1,187728,5,10,1,3,2,0,1,0,1887,50,0,1
58,2,321171,1,9,1,2,1,0,0,0,0,40,0,0
66,1,127921,1,9,0,7,0,0,0,2050,0,55,0,0
41,1,206565,5,10,0,6,0,1,0,0,0,45,0,0
26,1,224563,0,13,0,0,0,0,0,0,0,40,0,0
47,1,178686,7,11,0,4,0,0,0,0,0,40,0,0
55,5,98545,12,6,1,0,1,0,0,0,0,40,0,0
53,1,242606,1,9,1,7,1,0,0,0,0,40,0,0
17,1,270942,11,3,0,4,5,0,0,0,0,48,5,0
30,1,94235,1,9,0,6,5,0,0,0,0,40,0,0
49,1,71195,3,14,0,3,0,0,0,0,0,60,0,0
19,1,104112,1,9,0,5,4,1,0,0,0,30,22,0
45,1,261192,1,9,1,4,1,1,0,0,0,40,0,0
26,1,94936,6,12,0,5,0,0,0,0,0,40,0,0
38,1,296478,7,11,1,6,1,0,0,7298,0,40,0,1
36,6,119272,1,9,1,12,1,0,0,7298,0,40,0,1
33,1,85043,1,9,0,8,0,0,0,0,0,20,0,0
22,6,293364,5,10,0,12,3,1,1,0,0,40,0,0
43,2,241895,0,13,0,5,0,0,0,0,0,42,0,0
67,0,36135,2,7,1,11,1,0,0,0,0,8,0,0
30,0,151989,7,11,2,11,4,0,1,0,0,40,0,0
56,1,101128,6,12,3,4,0,0,0,0,0,25,12,0
31,1,156464,0,13,0,3,3,0,0,0,0,25,0,0
33,1,117963,0,13,1,1,1,0,0,0,0,40,0,1
26,1,192262,1,9,1,4,1,0,0,0,0,40,0,0
33,1,111363,0,13,1,1,1,0,0,0,0,40,0,1
46,5,329752,2,7,1,7,1,0,0,0,0,30,0,0
59,0,372020,0,13,1,11,1,0,0,0,0,40,0,1
38,4,95432,1,9,1,0,1,0,0,0,0,40,0,1
65,1,161400,2,7,6,4,4,4,0,0,0,40,0,0
40,1,96129,7,11,1,10,1,0,0,0,0,40,0,1
42,1,111949,1,9,1,0,2,0,1,0,0,35,0,0
26,2,117125,4,5,1,6,1,0,0,0,0,40,23,0
36,1,348022,12,6,1,4,2,0,1,0,0,24,0,0
62,1,270092,3,14,1,3,1,0,0,0,0,40,0,1
43,1,180609,0,13,1,7,1,0,0,0,0,45,0,0
43,1,174575,0,13,2,1,0,0,0,0,1564,45,0,1
22,1,410439,1,9,3,5,0,0,0,0,0,55,0,0
28,1,92262,1,9,1,6,1,0,0,0,0,40,0,0
56,2,183081,5,10,1,5,1,0,0,0,0,45,0,0
22,1,362589,6,12,0,5,0,0,1,0,0,15,0,0
57,1,212448,0,13,2,1,0,0,1,0,0,45,0,1
39,1,481060,1,9,2,5,4,0,1,0,0,40,0,0
26,4,185885,5,10,0,0,4,0,1,0,0,15,0,0
17,1,89821,2,7,0,4,3,0,0,0,0,10,0,0
40,6,184018,7,11,1,9,1,0,0,0,0,38,0,1
45,1,256649,1,9,1,9,1,1,0,0,0,40,0,0
44,1,160323,1,9,0,6,0,1,0,0,0,40,0,0
20,5,350845,5,10,0,0,3,0,1,0,0,10,0,0
33,1,267404,1,9,1,6,2,0,1,0,0,40,0,0
23,1,35633,5,10,0,5,0,0,0,0,0,40,0,0
46,2,80914,3,14,2,1,0,0,0,0,0,30,0,0
38,1,172927,1,9,1,5,1,0,0,0,0,50,0,0
54,1,174319,1,9,2,7,0,0,0,0,0,40,0,0
46,1,214955,11,3,2,6,0,0,1,0,2339,45,0,0
25,1,344991,5,10,1,6,1,0,0,0,0,40,0,0
46,1,108699,5,10,2,5,0,0,1,0,0,40,0,0
36,5,117312,5,10,1,7,2,0,1,0,0,40,0,0
23,1,396099,1,9,0,4,0,0,1,0,0,25,0,0
29,1,134152,1,9,4,9,0,0,0,0,0,40,0,0
44,1,162028,5,10,1,0,2,0,1,0,2415,6,0,1
19,1,25429,5,10,0,0,3,0,1,0,0,16,0,0
19,1,232392,1,9,0,4,5,0,1,0,0,40,0,0
35,1,220098,1,9,1,4,2,0,1,0,0,40,0,1
27,1,301302,0,13,0,6,0,0,0,0,0,50,0,0
46,2,277946,6,12,4,6,0,0,0,0,0,40,0,0
34,6,98101,0,13,1,1,1,0,0,7688,0,45,4,1
34,1,196164,1,9,0,4,0,0,1,0,0,35,0,0
44,1,115562,5,10,1,10,1,0,0,0,0,40,0,0
45,1,96975,5,10,2,2,4,0,1,0,0,40,0,0
20,0,137300,1,9,0,11,5,0,1,0,0,35,0,0
25,1,86872,0,13,1,1,1,0,0,0,0,55,0,1
52,3,132178,0,13,1,1,1,0,0,0,0,50,0,1
20,1,416103,5,10,0,2,3,0,0,0,0,40,0,0
28,1,108574,5,10,0,4,0,0,1,0,0,40,0,0
50,6,288353,0,13,1,12,1,0,0,0,0,40,0,1
34,1,227689,7,11,2,10,0,0,1,0,0,64,0,0
28,1,166481,8,4,1,2,1,4,0,0,2179,40,7,0
41,1,445382,3,14,1,1,1,0,0,0,1977,65,0,1
28,1,110145,1,9,1,0,1,0,0,0,0,40,0,0
46,2,317253,1,9,1,6,1,0,0,0,0,25,0,0
28,0,123147,5,10,1,11,2,0,1,0,1887,40,0,1
32,1,364657,5,10,1,1,1,0,0,0,0,50,0,0
41,5,42346,5,10,2,4,0,1,1,0,0,24,0,0
24,1,241951,1,9,0,2,4,1,1,0,0,40,0,0
33,1,118500,5,10,2,1,4,0,1,0,0,40,0,0
46,1,188386,9,16,1,1,1,0,0,15024,0,60,0,1
31,6,1033222,5,10,1,9,1,0,0,0,0,40,0,0
35,1,92440,15,8,2,6,0,0,0,0,0,50,0,1
52,1,190762,13,2,1,9,1,0,0,0,0,40,5,0
30,1,426017,2,7,0,4,3,0,1,0,0,19,0,0
34,5,243867,2,7,4,9,0,1,0,0,0,40,0,0
34,6,240283,1,9,2,7,4,0,1,0,0,40,0,0
20,1,61777,5,10,1,5,1,0,0,0,0,30,0,0
17,1,175024,2,7,0,2,3,0,0,2176,0,18,0,0
32,6,92003,0,13,1,1,2,0,1,0,0,40,0,1
29,1,188401,1,9,2,8,0,0,0,0,0,40,0,0
33,1,228528,12,6,0,6,4,0,1,0,0,35,0,0
25,1,133373,1,9,1,7,1,0,0,0,0,60,0,0
36,4,255191,3,14,0,3,0,0,0,0,1408,40,0,0
23,1,204653,1,9,0,2,0,0,0,0,0,72,24,0
63,3,222289,1,9,1,1,1,0,0,0,0,40,0,1
47,5,287480,3,14,1,3,1,0,0,0,0,40,0,0
80,0,107762,1,9,6,11,0,0,0,0,0,24,0,0
17,0,202521,2,7,0,11,3,0,0,0,0,40,0,0
40,2,204116,0,13,3,3,0,0,1,2174,0,40,0,0
30,1,29662,6,12,1,4,2,0,1,0,0,25,0,1
27,1,116358,5,10,0,6,3,2,0,0,1980,40,13,0
33,1,208405,3,14,1,3,1,0,0,0,0,50,0,1
34,5,284843,1,9,0,8,0,1,0,594,0,60,0,0
34,5,117018,5,10,0,12,0,0,1,0,0,40,0,0
23,1,81281,5,10,1,0,1,0,0,0,0,40,0,0
42,5,340148,5,10,1,0,2,0,1,0,0,40,0,0
29,1,363425,0,13,0,3,0,0,0,0,0,40,0,0
45,1,45857,1,9,2,0,0,0,1,0,0,28,0,0
24,4,191073,1,9,0,13,3,0,0,0,0,40,0,0
44,1,116632,5,10,1,3,1,0,0,0,0,40,0,1
27,1,405855,4,5,0,6,5,0,0,0,0,40,5,0
